kode;nama_tindakan;kelas;biaya_dokter;biaya_rs
190;FEE I_TABLE 6A_GENERAL SURGERY;ED;15350000;5370000
191;FEE I_TABLE 6A_NEUROSURGERY;ED;33920000;11870000
192;FEE I_TABLE 6A_OBSTETRICS AND GYNECOLOGY;ED;14700000;5150000
193;FEE I_TABLE 6A_OPHTHALMOLOGY;ED;15440000;5400000
194;FEE I_TABLE 6A_ORTHOPEDIC SURGERY;ED;17930000;6280000
195;FEE I_TABLE 6A_PEDIATRIC SURGERY;ED;19390000;6790000
196;FEE I_TABLE 6A_PLASTIC SURGERY;ED;18210000;6370000
197;FEE I_TABLE 6A_UROLOGICAL SURGERY;ED;15290000;5350000
198;FEE I_TABLE 6B_CARDIAC SURGERY;ED;20870000;7300000
199;FEE I_TABLE 6B_DENTISTRY;ED;17550000;6140000
200;FEE I_TABLE 6B_ENT / OTORHINOLARYNGOLOGY;ED;17940000;6280000
201;FEE I_TABLE 6B_GENERAL SURGERY;ED;15840000;5540000
202;FEE I_TABLE 6B_NEUROSURGERY;ED;35540000;12440000
203;FEE I_TABLE 6B_OBSTETRICS AND GYNECOLOGY;ED;16380000;5730000
204;FEE I_TABLE 6B_OPHTHALMOLOGY;ED;16850000;5900000
205;FEE I_TABLE 6B_ORTHOPEDIC SURGERY;ED;20080000;7030000
206;FEE I_TABLE 6B_PEDIATRIC SURGERY;ED;20600000;7210000
207;FEE I_TABLE 6B_PLASTIC SURGERY;ED;19390000;6790000
208;FEE I_TABLE 6B_UROLOGICAL SURGERY;ED;16460000;5760000
209;FEE I_TABLE 6C_CARDIAC SURGERY;ED;23110000;8090000
210;FEE I_TABLE 6C_DENTISTRY;ED;18950000;6630000
211;FEE I_TABLE 6C_ENT / OTORHINOLARYNGOLOGY;ED;19290000;6750000
212;FEE I_TABLE 6C_GENERAL SURGERY;ED;16830000;5890000
213;FEE I_TABLE 6C_NEUROSURGERY;ED;37150000;13000000
214;FEE I_TABLE 6C_OBSTETRICS AND GYNECOLOGY;ED;18480000;6470000
215;FEE I_TABLE 6C_OPHTHALMOLOGY;ED;18950000;6630000
216;FEE I_TABLE 6C_ORTHOPEDIC SURGERY;ED;24390000;8540000
217;FEE I_TABLE 6C_PEDIATRIC SURGERY;ED;21820000;7640000
218;FEE I_TABLE 6C_PLASTIC SURGERY;ED;20560000;7200000
219;FEE I_TABLE 6C_UROLOGICAL SURGERY;ED;17640000;6170000
220;FEE I_TABLE 7A_CARDIAC SURGERY;ED;26090000;9130000
221;FEE I_TABLE 7A_DENTISTRY;ED;21060000;7370000
222;FEE I_TABLE 7A_ENT / OTORHINOLARYNGOLOGY;ED;21530000;7540000
223;FEE I_TABLE 7A_GENERAL SURGERY;ED;17820000;6240000
224;FEE I_TABLE 7A_NEUROSURGERY;ED;38770000;13570000
225;FEE I_TABLE 7A_OBSTETRICS AND GYNECOLOGY;ED;19740000;6910000
226;FEE I_TABLE 7A_OPHTHALMOLOGY;ED;21060000;7370000
227;FEE I_TABLE 7A_ORTHOPEDIC SURGERY;ED;30120000;10540000
228;FEE I_TABLE 7A_PEDIATRIC SURGERY;ED;23030000;8060000
229;FEE I_TABLE 7A_PLASTIC SURGERY;ED;23500000;8230000
230;FEE I_TABLE 7A_UROLOGICAL SURGERY;ED;19400000;6790000
231;FEE I_TABLE 7B_CARDIAC SURGERY;ED;29070000;10170000
232;FEE I_TABLE 7B_DENTISTRY;ED;24220000;8480000
233;FEE I_TABLE 7B_ENT / OTORHINOLARYNGOLOGY;ED;23320000;8160000
234;FEE I_TABLE 7B_GENERAL SURGERY;ED;19800000;6930000
